,PLAYER_ID,SCHOOL_NAME,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS,full_name,POSITION,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,HAND_LENGTH,HAND_WIDTH,PTS,REB,AST,STL,BLK,FGA,FGM,FTA,FTM,TOV,GP
124,1641744,Purdue,26.0,31.5,11.19,3.01,3.42,,Zach Edey,C,87.75,299.00,94.75,115.0,10.0,10.75,610,548,65,36,85,433,251,127,90,88,66
125,1642399,nan,30.5,35.5,11.24,3.23,3.33,,Jesse Edwards,C,83.5,236.00,89.0,111.0,9.25,10.0,0,0,1,0,0,0,0,0,0,0,2
126,1642348,nan,28.0,32.5,12.07,3.22,3.18,,Justin Edwards,SF,78.0,209.40,82.0,102.5,8.75,8.75,445,148,69,45,16,378,172,46,32,49,44
127,1630556,Pepperdine,28.0,37.0,11.3,3.38,3.25,,Kessler Edwards,PF,79.0,203.00,83.25,106.0,8.5,8.25,745,451,134,86,60,670,283,71,55,88,214
128,1631165,Alabama,28.0,35.5,10.87,3.02,3.18,,Keon Ellis,SG,75.5,167.40,80.5,102.0,8.0,9.25,1000,344,211,177,93,712,341,128,103,109,153
129,203957,nan,31.5,34.5,10.75,2.88,3.19,,Danté Exum,SG,76.5,196.3,81.5,103.0,8.5,9.5,2150,690,768,148,60,1807,790,409,312,410,355
130,1628981,Maryland,29.0,35.0,12.19,3.03,3.23,11.0,Bruno Fernando,C,80.75,233.2,88.25,109.0,9.5,10.0,1113,904,199,65,147,813,446,325,214,199,289
131,1628981,Maryland,29.0,35.0,12.19,3.03,3.23,11.0,Bruno Fernando,C,80.75,237,87.25,110.0,9.25,10.0,1113,904,199,65,147,813,446,325,214,199,289
132,1628981,Maryland,29.5,33.5,11.29,3.05,3.21,13.0,Bruno Fernando,C,80.75,233.2,88.25,109.0,9.5,10.0,1113,904,199,65,147,813,446,325,214,199,289
133,1628981,Maryland,29.5,33.5,11.29,3.05,3.21,13.0,Bruno Fernando,C,80.75,237,87.25,110.0,9.25,10.0,1113,904,199,65,147,813,446,325,214,199,289
134,1642271,nan,27.0,32.5,11.43,2.93,3.19,,Kyle Filipowski,PF,82.75,229.80,82.5,107.0,8.75,9.5,690,440,140,48,22,518,260,143,93,102,72
135,1627827,Virginia Tech,32.5,35.5,11.01,3.04,3.27,,Dorian Finney-Smith,SF,78.5,212.6,83.75,105.5,9.0,9.75,6009,3235,1041,598,324,5045,2184,665,478,632,720
136,1641745,Presbyterian,31.0,36.0,10.96,,3.24,,Adam Flagler,PG,73.0,191.80,76.5,97.0,8.0,9.25,68,27,16,8,3,103,26,2,1,4,39
137,1642280,nan,34.5,42.0,11.01,3.0,3.13,,Trentyn Flowers,SF,78.5,201.40,80.25,100.5,8.75,9.5,11,4,0,0,0,11,4,3,3,1,6
138,1628368,Kentucky,,,,,,,De'Aaron Fox,PG,74.0,169.6,78.5,100.0,8.5,8.5,12858,2380,3654,847,246,10122,4749,3218,2427,1623,593
139,1642402,nan,30.5,35.0,10.99,3.04,3.26,,Enrique Freeman,PF,79.25,212.00,86.0,108.0,8.75,10.0,46,30,9,3,3,37,16,19,13,6,22
140,1628365,Washington,,,,,,,Markelle Fultz,PG,,,,,,,2656,817,1111,286,70,2389,1124,444,325,451,255
141,1642277,nan,25.5,32.0,11.15,3.17,3.2,,Johnny Furphy,SF,79.5,188.80,80.0,104.5,8.0,9.5,103,71,19,18,11,92,35,22,18,12,50
142,1629655,Arkansas,32.5,36.5,11.61,3.19,3.25,5.0,Daniel Gafford,PF,81.25,237.6,86.5,110.0,9.25,9.25,4691,2920,541,281,812,2753,1955,1162,781,475,506
143,1629636,Vanderbilt,,,,,,,Darius Garland,PG,,,,,,,7204,1015,2558,447,44,5818,2635,1196,1037,1127,382
